label,point,lower,upper,role
Own-curve TIA,0.11813147442823706,0.08994550217491581,0.14648418182959,prospective
Own-curve CNM,0.11125401887994685,0.08092652772304589,0.14134477458299186,prospective
Crossed CNM,0.11125401887994686,0.07458911254378565,0.14849545239951006,post-confirmation
Wrong-owner,-0.010852085016938606,-0.03693339768908843,0.014786674797603618,post-confirmation
