label,point,lower,upper,role
OOPS latent motion,0.05750834751973259,0.031873945990422,0.08303857465613108,prospective
Pistachio ridge,0.11125401887994685,0.08092652772304589,0.14134477458299186,prospective
IITB normal distance,0.03790620873229806,0.014928885493546583,0.06108070619326222,prospective
IITB temporal novelty,0.06510851087973088,0.041674329422191396,0.08977704447000659,prospective
IITB frame difference,0.0450677737401518,0.024389689758821324,0.06661382029884046,prospective
PEL4VAD,0.15215477999053645,0.11997707311050601,0.18442564532809977,post-confirmation
Fed-WSVAD,0.11530344777984344,0.0803787431721192,0.1507821228046895,post-confirmation
